id,org_name,organization_type,breach_type,total_affected,severity_level,reporting_delay_days,breach_duration_days,third_party_flag,risk_score,operational_risk_level,risk_owner,incident_status,remediation_action,remediation_due_date,remediation_overdue_flag
00e2c7ca-8fff-58ab-88cd-12758e6f11bc,Spring EQ LLC,BSF,HACK,,Unreported,113.0,1.0,False,4,Medium,Data Governance Team,Under Review,Review breach notification workflow and reporting escalation controls,2024-12-21,True
090a9e5a-a803-5047-a485-1fe1d80ebfde,"Self Esteem Brands, LLC",BSO,HACK,,Unreported,404.0,160.0,False,6,High,Data Governance Team,Remediation In Progress,Review breach notification workflow and reporting escalation controls,2025-02-19,True
3f33b468-f55d-55a3-a5c4-34d1d949f2eb,The Vernon Company,BSR,UNKN,,Unreported,,,False,4,Medium,Data Governance Team,Under Review,Complete impact assessment and update affected population count,2024-08-18,True
0d04c154-39a4-5346-8f70-0ad9f37d8cef,"Island Ambulatory Surgery Center, LLC",MED,HACK,,Unreported,249.0,0.0,False,4,Medium,Data Governance Team,Under Review,Review breach notification workflow and reporting escalation controls,2024-05-05,True
98c94248-eaf5-52ad-95b9-c8dd1e4fe0aa,Harbor,MED,HACK,2703.0,Medium,,,False,4,Medium,Operational Risk Team,Under Review,Monitor incident and maintain standard governance review,2025-07-20,True
f12f02be-f8e5-58dc-a95d-5ea1f9b60d10,"Black, Gould & Associates, Inc.",BSF,HACK,,Unreported,96.0,10.0,False,4,Medium,Data Governance Team,Under Review,Review breach notification workflow and reporting escalation controls,2023-01-04,True
f362e481-2af4-5953-915f-ab5e0670b42b,Pearl River Community College,EDU,HACK,34678.0,High,111.0,,False,5,Medium,Operational Risk Team,Under Review,Review breach notification workflow and reporting escalation controls,2022-09-18,True
9cfc42a2-eff2-5ad9-9439-8ee48e09309f,First Commonwealth Federal Credit Union,BSF,UNKN,,Unreported,,,False,4,Medium,Data Governance Team,Under Review,Complete impact assessment and update affected population count,2024-09-01,True
3462f6eb-2908-5e94-86b8-c63f521aedcc,Marsh McLennan,BSF,HACK,,Unreported,69.0,8.0,False,4,Medium,Data Governance Team,Under Review,Review breach notification workflow and reporting escalation controls,2021-07-30,True
38c7422b-1d37-52ae-8a6e-58be17f30a59,The Village Bank,BSF,UNKN,,Unreported,,,False,4,Medium,Data Governance Team,Under Review,Complete impact assessment and update affected population count,2017-05-03,True
64610a02-fdca-5021-be40-cc594283edd2,"DePaul Community Services, Inc.",MED,HACK,902.0,Low,,,False,3,Medium,Operational Risk Team,Under Review,Monitor incident and maintain standard governance review,2019-04-26,True
e6f7b3e5-4679-52ee-b265-5cfbc4e95ed7,Dendreon Pharmaceuticals LLC,MED,HACK,,Unreported,92.0,,False,4,Medium,Data Governance Team,Under Review,Review breach notification workflow and reporting escalation controls,2024-06-22,True
8eda7deb-7b63-59ca-91a4-60342a7de52f,"Milliman Solutions, LLC",BSF,HACK,,Unreported,49.0,1.0,False,4,Medium,Data Governance Team,Under Review,Review breach notification workflow and reporting escalation controls,2023-08-16,True
0befaeb0-25ad-5038-ba58-f7a0e637c910,PCC Technology,UNKN,UNKN,,Unreported,,,False,4,Medium,Data Governance Team,Under Review,Complete impact assessment and update affected population count,2017-02-04,True
5ebe1660-85bc-5254-bb48-14f2c0944145,"Reyes Automotive Group II, LLC",BSR,UNKN,,Unreported,,,False,4,Medium,Data Governance Team,Under Review,Complete impact assessment and update affected population count,2024-04-25,True
81abf743-0e36-5d28-bd63-f727a0a9cd7e,St. Mary's Credit Union,BSF,UNKN,,Unreported,,,False,4,Medium,Data Governance Team,Under Review,Complete impact assessment and update affected population count,2023-09-07,True
34562470-ee63-547c-9893-00cc8cd19777,TravelCaddyIncdbaTravelon,BSO,UNKN,1672.0,Medium,265.0,,False,4,Medium,Operational Risk Team,Under Review,Review breach notification workflow and reporting escalation controls,2016-09-03,True
94360629-b548-5d5a-864b-52719e2bd643,HSHS MEDICAL GROUP,MED,UNKN,,Unreported,65.0,,False,4,Medium,Data Governance Team,Under Review,Review breach notification workflow and reporting escalation controls,2024-11-16,True
