id,org_name,organization_type,breach_type,total_affected,severity_level,impact_score,likelihood_score,cyber_matrix_score,cyber_matrix_level,risk_owner,incident_status,remediation_action
57cc9719-3145-5e43-b820-4ff6097f8fbe,Smithfield Specialty Foods Group LLC,BSR,HACK,22103.0,High,3,4,12,Critical,Third-Party Risk Management,Escalated,Immediate executive escalation and corrective action plan required
9046f28b-28ce-5e67-9439-7541e8f2eee9,Cambridge School of Weston,EDU,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
8faa0c72-f0e7-5048-8664-79ab4ee17811,"Advance Stores Company, Incorporated",BSR,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
54ab93fe-98f6-55f1-9b3b-7d97d01a2c32,East Shore Specialty Foods,BSO,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
56c7f0f1-6f9b-583a-a5f7-d434ee9e508e,Roots & Harvest Direct LLC,BSR,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
afc6642b-22e4-5efa-b08f-66d3ad98b182,Colorado Department of Health Care Policy & Financing,GOV,HACK,4187732.0,Critical,4,3,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
0d5ff8e5-fd41-5406-8f97-6088a67ab199,Halekulani Corporation,BSO,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
6626a9e7-9ac9-5121-ab74-3fd3af508568,"HRM Enterprises, Inc.",BSR,HACK,43092.0,High,3,4,12,Critical,Third-Party Risk Management,Escalated,Immediate executive escalation and corrective action plan required
6b890664-5612-59e6-92df-fd8dc318005c,"Pension Benefit Information, LLC",BSO,HACK,308072.0,Critical,4,3,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
f180aee0-52e9-577a-b59f-5a8fa0b6112c,Hydrocephalus Association,NGO,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
8acfca0c-711f-538a-8a9b-6fcabf6dd244,21c Museum Hotels LLC,BSO,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
4944b1a1-4b31-5a26-9fa4-94d7c4629cdf,NorthBay Healthcare Corporation,MED,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
009215b2-58c0-50d0-b44d-23e6d5f3b4ec,Anaheim Majestic Garden Hotel,BSO,HACK,,Unreported,3,4,12,Critical,Third-Party Risk Management,Remediation In Progress,Initiate third-party risk review and vendor remediation assessment
4033ec35-0a5d-568a-a864-45fec20a39cf,Ravkoo,UNKN,UNKN,105000.0,Critical,4,3,12,Critical,Operational Risk Team,Remediation In Progress,Review breach notification workflow and reporting escalation controls
